Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05200:Pathways in cancer	309	6.962595763857593	1.5776269227606788E-34	3082, 8772, 23604, 64399, 595, 111, 596, 354, 4609, 355, 598, 356, 238, 6469, 4843, 9978, 2308, 3091, 5155, 5156, 367, 4851, 801, 1906, 4853, 4854, 4855, 4616, 808, 25, 6256, 8312, 4193, 1910, 2323, 2322, 5159, 3655, 6921, 815, 817, 818, 7473, 5295, 7472, 5296, 7474, 4087, 4088, 6387, 7476, 5970, 4089, 2100, 5290, 5291, 7471, 5293, 5728, 387, 2335, 5601, 5602, 6934, 5604, 5605, 8454, 7483, 4893, 2353, 3320, 1021, 3440, 3560, 7482, 1019, 3559, 3558, 1017, 80326, 1499, 51561, 10297, 5731, 5732, 5734, 836, 5979, 4780, 7012, 7015, 2122, 3574, 29119, 3572, 1030, 3570, 1029, 3569, 1027, 79444, 3326, 3568, 1026, 1147, 840, 3567, 841, 3566, 2113, 842, 1387, 3565, 2475, 3685, 5743, 5747, 4790, 4792, 9446, 2254, 2253, 1284, 2250, 1282, 3460, 3459, 57449, 2248, 3458, 2247, 1950, 2246, 1398, 3455, 3576, 3454, 23462, 2002, 3575, 5879, 1956, 26291, 26508, 7157, 5894, 6500, 7039, 3596, 182, 183, 1050, 2260, 185, 2932, 1288, 623, 2255, 4312, 4313, 867, 1728, 5888, 4437, 4318, 7043, 7046, 6198, 7048, 2034, 2033, 7040, 3481, 7042, 3480, 1613, 1855, 3913, 2944, 1612, 10018, 2149, 2941, 3479, 2147, 114112, 3597, 998, 999, 637, 5898, 2949, 2947, 2946, 7296, 51806, 9475, 7852, 7170, 2952, 2950, 2277, 6513, 405, 1869, 26281, 7186, 7189, 7188, 6773, 6772, 6775, 4233, 6654, 6774, 2056, 149233, 3265, 8031, 7184, 890, 650, 3815, 10912, 652, 1630, 896, 2846, 5331, 2064, 9252, 2735, 4914, 3827, 27113, 2057, 6777, 10000, 5566, 6776, 5567, 6778, 11211, 1647, 5582, 4254, 3162, 3717, 673, 675, 6667, 5336, 317, 5578, 5337, 5338, 9817, 5594, 5595, 3728, 3600, 324, 119391, 5467, 207, 5468, 329, 10342, 5228, 54205, 10587, 3845, 3725, 7422, 9965, 5366, 7423, 28514, 2099, 2770, 3066, 3065, 8074, 5915, 330, 331, 1436, 332, 578, 5599, 6688, 8503, 4824, 1439, 5914, 5371, 4040, 89780, 4041, 4286, 9170, 581, 2778, 54583, 2776, 8517, 109, 7428, 5925	2682	531	8112	1.7600829130802969	5.411260345069128E-32	5.411260345069128E-32	2.0351387303612756E-32
KEGG_PATHWAY	hsa05022:Pathways of neurodegeneration - multiple diseases	274	6.173952230734566	1.8195689847198487E-29	8772, 9861, 4294, 1460, 351, 1459, 1337, 596, 4729, 1457, 355, 598, 356, 7316, 7318, 4842, 4722, 7317, 4843, 4724, 8408, 90550, 3092, 7332, 1351, 65018, 203228, 1349, 5707, 488, 489, 84557, 7327, 9627, 801, 5700, 10540, 5704, 808, 7345, 8678, 8312, 5289, 5718, 4508, 498, 81631, 4741, 5710, 11047, 4744, 815, 5715, 4747, 817, 6804, 818, 5173, 7473, 6262, 7472, 7474, 7476, 5970, 9896, 9776, 6389, 3552, 1131, 22863, 7471, 1128, 4519, 5609, 823, 824, 4512, 5601, 4513, 5602, 4514, 5604, 3309, 5605, 7483, 7124, 5861, 4893, 1020, 6391, 6390, 7482, 1139, 80326, 1499, 3553, 10297, 2906, 836, 3799, 2904, 2903, 2902, 7132, 7494, 7133, 4540, 4541, 5630, 11273, 5071, 2911, 57679, 29110, 3569, 840, 841, 120892, 257202, 842, 2475, 5621, 5743, 6712, 847, 4535, 2915, 4536, 5868, 4537, 4538, 7385, 7384, 4790, 7388, 291, 293, 177, 5879, 100506742, 22943, 10280, 7277, 9217, 5894, 5532, 80208, 9451, 1965, 2932, 27035, 627, 84134, 509, 5663, 4695, 5664, 7280, 1855, 203068, 25981, 514, 5533, 5413, 10131, 6622, 637, 10376, 10133, 1616, 51806, 10381, 22926, 10382, 1742, 522, 7846, 4217, 4218, 7186, 9246, 9001, 5682, 5683, 6531, 3265, 55062, 775, 776, 55626, 6647, 1639, 54539, 5690, 9377, 5331, 23435, 25978, 3028, 5688, 10120, 11211, 1649, 1769, 9927, 50507, 5582, 9821, 6311, 6310, 8851, 1536, 673, 2861, 53349, 317, 5578, 3710, 10452, 3831, 1537, 2081, 5594, 5595, 2878, 2877, 2876, 116442, 324, 4137, 54205, 11315, 3845, 10105, 9706, 5481, 2892, 2891, 2890, 27429, 3064, 4705, 1435, 4709, 1432, 2521, 578, 2882, 7415, 5599, 7417, 55669, 7416, 7419, 4040, 89780, 4041, 4287, 7314, 9973, 581, 81027, 1327, 4719, 2776, 26100, 468, 2893, 51079, 4710, 8878, 4712, 4714, 1329	2682	476	8112	1.741056154005226	6.241121617589081E-27	3.1205608087945405E-27	1.1736219951443024E-27
KEGG_PATHWAY	hsa04210:Apoptosis	104	2.3433979269941414	8.771249951510718E-25	8772, 3002, 4170, 472, 10018, 596, 597, 355, 598, 356, 5414, 637, 10376, 1616, 5551, 1075, 7846, 1509, 1508, 4217, 4616, 7186, 8797, 3265, 1514, 1513, 10912, 5295, 5296, 4000, 8722, 5970, 4001, 5290, 9131, 5170, 5291, 142, 5293, 4914, 143, 27113, 1520, 10000, 823, 824, 5601, 5602, 1649, 5604, 5605, 8717, 1647, 7124, 4893, 2353, 6709, 317, 835, 836, 3710, 56616, 839, 4803, 2081, 7132, 5594, 8743, 5595, 840, 1147, 841, 842, 8737, 207, 60, 329, 54205, 3845, 8739, 3725, 4790, 4792, 5366, 27429, 330, 331, 332, 578, 5599, 8503, 10039, 1439, 10038, 100506742, 7277, 7157, 5894, 2021, 9451, 581, 1965, 468, 8517	2682	136	8112	2.3129359126200817	3.008538733368176E-22	1.0028462444560587E-22	3.771637479149609E-23
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	144	3.244704821991888	2.2463439440174302E-24	6352, 596, 355, 598, 356, 1573, 5533, 6348, 998, 7436, 6347, 4688, 637, 4689, 4846, 9475, 51806, 22926, 4067, 6401, 6885, 19, 3929, 801, 4973, 4217, 4615, 808, 929, 9641, 7186, 7189, 6256, 3661, 8797, 6774, 3265, 3383, 7184, 148022, 6403, 3654, 815, 6648, 817, 818, 5295, 5296, 5331, 5970, 5290, 5170, 5291, 5293, 57534, 3306, 653361, 387, 3305, 5609, 3949, 3304, 3303, 10000, 6416, 5601, 5602, 1649, 3309, 3308, 7124, 4893, 4773, 2353, 29108, 3320, 3440, 114548, 1536, 3717, 3312, 3553, 317, 834, 5578, 836, 839, 2081, 7099, 7132, 7494, 4780, 5594, 8743, 5595, 7412, 7097, 3329, 5906, 29110, 3569, 3326, 1543, 840, 1147, 841, 842, 5468, 207, 54205, 6714, 5747, 3845, 3606, 1548, 3725, 4790, 4792, 1558, 177, 2920, 1555, 335, 3456, 1432, 3576, 337, 338, 5599, 8503, 5879, 1559, 7157, 5532, 9451, 581, 1965, 2932, 468, 27035, 4312, 8517, 4314, 4318	2682	215	8112	2.025784298423599	7.704959727979786E-22	1.9262399319949464E-22	7.244459219456213E-23
KEGG_PATHWAY	hsa05206:MicroRNAs in cancer	185	4.168544389364579	2.2670880199360196E-22	406983, 406986, 406900, 406988, 407030, 2033, 407031, 8091, 407035, 4170, 7042, 406980, 472, 10018, 595, 596, 4609, 85414, 599, 995, 2146, 406979, 406978, 4325, 6624, 10014, 406971, 7057, 407026, 5155, 5156, 407029, 407020, 1591, 3371, 407024, 407021, 574452, 3925, 4851, 648, 4853, 4854, 4855, 1869, 4194, 407016, 25, 407015, 4233, 407018, 6654, 6774, 407019, 8434, 3265, 407010, 4193, 574455, 57521, 9759, 5159, 406957, 659, 406959, 7473, 5295, 693210, 407006, 406951, 5296, 406950, 7078, 4363, 6541, 406952, 407007, 407008, 2065, 2064, 9252, 5290, 5291, 4082, 5293, 54541, 5728, 387, 406948, 406947, 6935, 3667, 5328, 406949, 5604, 5605, 23405, 5581, 5582, 406942, 4893, 406943, 1021, 3162, 672, 2744, 10297, 5578, 5336, 406937, 10298, 836, 406938, 3690, 5594, 5595, 406933, 5598, 23411, 406892, 23414, 1789, 1029, 1788, 1545, 1027, 960, 1786, 1026, 554213, 324, 1387, 2475, 442902, 5743, 442903, 406926, 442904, 406928, 1946, 3845, 1945, 7143, 4790, 406884, 5243, 7422, 406886, 407053, 3066, 407051, 3065, 494335, 574411, 578, 1398, 406913, 8626, 8503, 1956, 89780, 407047, 7431, 3190, 406995, 7430, 6464, 406996, 7157, 5894, 406910, 407041, 407042, 407040, 407045, 407046, 442890, 407043, 442891, 406991, 406909, 406902, 406901, 900, 4318	2682	310	8112	1.8050082990546295	7.776111908380548E-20	1.5552223816761094E-20	5.849087091434931E-21
KEGG_PATHWAY	hsa05418:Fluid shear stress and atherosclerosis	102	2.298332582244254	5.44973103269571E-22	9181, 2944, 596, 2941, 6347, 4688, 4205, 2949, 2947, 4208, 2946, 4846, 51806, 7056, 5155, 7850, 6401, 6885, 7295, 2952, 2950, 801, 1906, 4217, 808, 7341, 5562, 5563, 3383, 387082, 7184, 1514, 652, 659, 5295, 5296, 6385, 4880, 3791, 5970, 3552, 5290, 5291, 5293, 5607, 653361, 387, 5609, 1003, 10000, 6416, 10365, 5601, 5327, 5602, 25828, 7124, 2353, 3320, 3162, 1499, 3554, 3553, 9817, 7132, 3690, 4780, 5598, 7412, 5590, 3326, 1147, 445, 119391, 3685, 207, 60, 6714, 5747, 3725, 4790, 7422, 9446, 3458, 1432, 51588, 5599, 8503, 857, 858, 859, 5879, 7157, 1843, 27035, 406902, 6612, 8517, 4313, 8878, 1728, 4318	2682	139	8112	2.219496885712906	1.8692577442146287E-19	3.115429573691048E-20	1.1716921720295777E-20
KEGG_PATHWAY	hsa04140:Autophagy - animal	102	2.298332582244254	3.1549237556302617E-21	23604, 9342, 6198, 3480, 1613, 1612, 596, 3916, 598, 3630, 11345, 8408, 10533, 22800, 9474, 3091, 6885, 55054, 203228, 84557, 1509, 1508, 3920, 4218, 8673, 7189, 5562, 5563, 8678, 5289, 3265, 55062, 440275, 1514, 57521, 81631, 55626, 6009, 5295, 5296, 338382, 9776, 5290, 5170, 22863, 23710, 5291, 5293, 54541, 5728, 10645, 84335, 664, 3146, 10000, 5566, 5567, 5601, 5602, 3667, 5604, 11337, 5605, 5580, 9821, 6794, 4893, 7248, 5861, 9140, 58476, 53349, 7879, 118471, 2081, 5594, 5595, 55014, 29110, 116442, 2475, 5588, 7249, 207, 7405, 3845, 9706, 83734, 51100, 5599, 10670, 8503, 5515, 5516, 5894, 64422, 79065, 9451, 1965, 23192, 26100, 8878	2682	141	8112	2.188014660383645	1.0821388481811799E-18	1.5459126402588282E-19	5.81407377823291E-20
KEGG_PATHWAY	hsa04933:AGE-RAGE signaling pathway in diabetic complications	79	1.7800811176205498	1.920132348969382E-20	50507, 5580, 7043, 5581, 7046, 7048, 7124, 4893, 2152, 7040, 7042, 1536, 1019, 595, 3717, 596, 3553, 998, 5578, 6347, 5336, 836, 2308, 4846, 7056, 5594, 5595, 6401, 7412, 5590, 3569, 1027, 2277, 207, 1906, 3845, 3725, 4790, 7422, 6772, 6774, 7423, 3265, 1284, 1282, 3383, 1281, 177, 1432, 1278, 3576, 5599, 8503, 1958, 5879, 5295, 5296, 5054, 4087, 5331, 4088, 5970, 4089, 3552, 5290, 183, 5291, 185, 581, 5293, 2335, 1288, 27035, 10000, 6777, 4313, 6776, 5601, 5602	2682	100	8112	2.389440715883669	6.586053956964981E-18	8.232567446206226E-19	3.0962134127131285E-19
KEGG_PATHWAY	hsa05010:Alzheimer disease	211	4.754393871113114	2.0505999625960906E-19	8772, 9861, 1460, 351, 1459, 1337, 4729, 1457, 355, 3630, 4842, 4722, 4843, 4724, 8408, 90550, 1351, 1349, 5707, 488, 489, 801, 83464, 3643, 5700, 5704, 808, 8678, 8312, 5289, 5718, 3416, 4508, 498, 23385, 5710, 11047, 5715, 7473, 5295, 7472, 5296, 7474, 7476, 5970, 9776, 6389, 3552, 1131, 5290, 5291, 22863, 7471, 5293, 1128, 4519, 5609, 823, 824, 4512, 5601, 4513, 5602, 3667, 4514, 5604, 5605, 7483, 4891, 7124, 4893, 1020, 6391, 6390, 7482, 1139, 80326, 1499, 3553, 10297, 5610, 2906, 836, 3799, 2904, 2903, 2902, 7132, 7494, 4540, 4541, 3569, 1147, 840, 841, 2597, 842, 2475, 5743, 4535, 2915, 4536, 4537, 4538, 7385, 7384, 4790, 7388, 4311, 291, 293, 177, 100506742, 22943, 7277, 5894, 5532, 9451, 1965, 2932, 27035, 509, 5663, 4695, 5664, 7280, 1855, 203068, 514, 5533, 6622, 637, 10376, 6868, 51806, 10381, 22926, 10382, 522, 55851, 7846, 4217, 7186, 5682, 5683, 3265, 55062, 775, 776, 55626, 54539, 5690, 9377, 5331, 3028, 10000, 5688, 11211, 1649, 50507, 25825, 9821, 8851, 64116, 57142, 1536, 673, 317, 3710, 3831, 1537, 2081, 5594, 5595, 324, 4137, 207, 54205, 3845, 10105, 9706, 5481, 4035, 23621, 4705, 1435, 4709, 5599, 7417, 8503, 7416, 7419, 10313, 4040, 89780, 4041, 23516, 81027, 1327, 102, 4719, 2776, 26100, 468, 348, 51079, 8517, 4710, 4712, 4714, 1329	2682	384	8112	1.6619593586875467	7.033557871704591E-17	7.81506430189399E-18	2.9391932797210633E-18
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	170	3.8305543037404237	1.1446791096147689E-18	3082, 6196, 7043, 7046, 4296, 7048, 7040, 3481, 6195, 7042, 3480, 4609, 355, 356, 23162, 3479, 1850, 3630, 5533, 998, 5536, 1616, 4208, 22800, 5155, 5156, 6885, 9479, 2317, 2316, 3925, 2277, 4214, 27091, 3643, 4216, 4217, 408, 409, 4615, 26281, 4616, 2318, 929, 7186, 7189, 5321, 4233, 6654, 3265, 84867, 3815, 10912, 773, 56034, 775, 2323, 4908, 776, 2322, 4909, 777, 2321, 5159, 3654, 9254, 3791, 5970, 3552, 2066, 2065, 2064, 9252, 781, 4914, 5607, 4915, 3306, 3305, 5609, 3304, 3303, 10000, 5566, 5567, 6416, 5601, 5602, 1649, 5604, 5605, 8717, 1647, 5582, 4254, 7124, 4893, 2353, 3164, 9261, 4804, 673, 3315, 2069, 3554, 3312, 3553, 6788, 4763, 5578, 836, 4803, 7132, 5594, 5595, 5598, 2122, 285, 3727, 5906, 1147, 1386, 4137, 207, 5228, 1946, 3845, 1945, 3725, 4790, 7422, 9965, 7786, 7423, 2254, 2253, 2250, 8074, 1436, 1435, 2248, 1950, 2247, 1432, 2246, 1398, 2002, 5599, 5879, 1956, 26291, 7157, 5894, 7039, 5532, 9175, 2260, 9693, 123745, 1326, 1843, 468, 2255, 8517, 8913, 627, 1848, 5923, 5924, 1845	2682	294	8112	1.7489232829597166	3.9262493459786574E-16	3.8250492606050056E-17	1.438575377895177E-17
